tweet_id,text,created_at_utc,created_at_et,lang,is_retweet,is_reply,is_quote,conversation_id,like_count,retweet_count,reply_count,quote_count,engagement_score
1963693465977397465,@ineedagothgfsm I actually got my iPad out just now,2025-09-04T19:59:40+00:00,2025-09-04T15:59:40-04:00,en,False,True,False,1963692827734647015,1,1,1,0,2.236068
1963693447413682516,"@gunsmoke317 @GetBlazedSon @J_E_Mac @ResolvedDM @atensnut According to Whren v. United States (1996), a traffic stop doesn't violate the 4th Amendment if officers have probable cause to believe any traffic violation occurred, regardless of how minor. Yes, a non-working license plate light qualifies. More trivial examples include failure to signal or a cracked taillight, as long as it's a violation under the law.",2025-09-04T19:59:36+00:00,2025-09-04T15:59:36-04:00,en,False,True,False,1962918936627843116,1,1,0,0,2.000000
1963693523829432389,I want a girl that looks at me the same way Pear Butter looks at Bright Mac https://t.co/SOtDAaHKqt,2025-09-04T19:59:54+00:00,2025-09-04T15:59:54-04:00,en,False,False,False,1963693523829432389,2,0,0,0,1.732051
1963693508809703561,@Zoomerjeet Dawg just gave me a wallpaper for my iPad.,2025-09-04T19:59:50+00:00,2025-09-04T15:59:50-04:00,en,False,True,False,1963689520370491571,1,0,1,0,1.732051
1963693496143069613,@DollyPopsHere You are the apple 🍎 of my eye 👁 sweet little Dolly.  Have a wonderful Thursday with Dad and Mum.  You are so precious and tiny. 🪻🪷🌹🌷🌺 https://t.co/6pVfJTmoeZ,2025-09-04T19:59:47+00:00,2025-09-04T15:59:47-04:00,en,False,True,False,1963665124885135729,1,0,1,0,1.732051
1963693540392800353,@haotec yeah but i only learned like a few words like yes and apple 😔 and boy and girl,2025-09-04T19:59:58+00:00,2025-09-04T15:59:58-04:00,en,False,True,False,1963691385816514828,0,0,1,0,1.414214
1963693471027646818,@ShadyTunez Biggie apple😭,2025-09-04T19:59:41+00:00,2025-09-04T15:59:41-04:00,en,False,True,False,1963689920578416716,0,0,1,0,1.414214
1964055904300458316,"If you liked this thread, I have a sci-fi audio show exploring these themes. It’s called The Last Human. The first two seasons are out, and it’s available on Apple Podcasts, Spotify, and YouTube. Link below! https://t.co/Fs95xLHnKs",2025-09-05T19:59:52+00:00,2025-09-05T15:59:52-04:00,en,False,True,False,1964043577211711819,79,9,1,0,9.949874
1964055927394361400,@OHMichael @Kathy_BFisher @MagaTrump61 @Hunter_Eagleman @7Whiskey_dreams @luluHru @DFBHarvard @TJLakers01 @heyitsmeCarolyn @JohnFromCranber @GodlyAction @DanielleMejiaCA @POTUS @WhiteHouse @TRUMP_ARMY_ @Kc_Casey1 @MAC_ARMY1 @Ravious101 @SheldonRothMD1 @RogerBernards @ACTforAmerica @buddydawg77 @BEDambold @kim94206996 @BobbyReader2 @RealDavidwinKc @SaraTftb1 @dantherock13 @MAGA_Doog @Kobie3408 @PinoAmericano @Kingbuilder7 @DoggiePoo3 @doogadoo11 @end3of6days9 @AVGirl4Life @dadnme88 @nancy_hamm1 @GodandCountryy @LanceMahan56338 @kostrzewa_david @echo16photo @Tiff9980 @Michael73551199 @mccla331 @BamaPatriot_ @kelstrom 😂😂 she's sure enough a karen https://t.co/iB6sw0BJPV,2025-09-05T19:59:58+00:00,2025-09-05T15:59:58-04:00,en,False,True,False,1963733086631309347,4,0,1,0,2.449490
1964055871551382012,It’s only days until the huge iPhone 17 pro max event  Battery even better Camera light years better All new design 10 bit display with anti reflective display Exclusive liquid glass   The s25u already destroyed from day 1 by last years phone this is going to be a demolishing 😂,2025-09-05T19:59:44+00:00,2025-09-05T15:59:44-04:00,en,False,False,False,1964055871551382012,5,0,0,0,2.449490
